alcaldia,disponibilidad,fuente,poblacion,alcaldia_id
Álvaro Obregón,Disponen de agua entubada,Del servicio público de agua,744504,010
Álvaro Obregón,Disponen de agua entubada,De un pozo comunitario,5020,010
Álvaro Obregón,Disponen de agua entubada,De un pozo particular,170,010
Álvaro Obregón,Disponen de agua entubada,De una pipa,2133,010
Álvaro Obregón,Disponen de agua entubada,De otra vivienda,637,010
Álvaro Obregón,Disponen de agua entubada,De la lluvia,26,010
Álvaro Obregón,Disponen de agua entubada,De otro lugar,308,010
Álvaro Obregón,Disponen de agua entubada,No especificado,901,010
Álvaro Obregón,No disponen de agua entubada,Acarreada de un pozo,19,010
Álvaro Obregón,No disponen de agua entubada,Acarreada de llave comunitaria,412,010
Álvaro Obregón,No disponen de agua entubada,Acarreada de otra vivienda,460,010
Álvaro Obregón,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",3,002
Álvaro Obregón,No disponen de agua entubada,La trae una pipa,633,002
Álvaro Obregón,No disponen de agua entubada,La recolectan de la lluvia,21,002
Azcapotzalco,Disponen de agua entubada,Del servicio público de agua,426697,002
Azcapotzalco,Disponen de agua entubada,De un pozo comunitario,386,002
Azcapotzalco,Disponen de agua entubada,De un pozo particular,65,002
Azcapotzalco,Disponen de agua entubada,De una pipa,2053,002
Azcapotzalco,Disponen de agua entubada,De otra vivienda,151,002
Azcapotzalco,Disponen de agua entubada,De la lluvia,9,002
Azcapotzalco,Disponen de agua entubada,De otro lugar,54,002
Azcapotzalco,Disponen de agua entubada,No especificado,112,014
Azcapotzalco,No disponen de agua entubada,Acarreada de un pozo,32,014
Azcapotzalco,No disponen de agua entubada,Acarreada de llave comunitaria,442,014
Azcapotzalco,No disponen de agua entubada,Acarreada de otra vivienda,142,014
Azcapotzalco,No disponen de agua entubada,La trae una pipa,292,014
Azcapotzalco,No disponen de agua entubada,La recolectan de la lluvia,6,014
Benito Juárez,Disponen de agua entubada,Del servicio público de agua,430889,014
Benito Juárez,Disponen de agua entubada,De un pozo comunitario,112,014
Benito Juárez,Disponen de agua entubada,De un pozo particular,70,014
Benito Juárez,Disponen de agua entubada,De una pipa,328,003
Benito Juárez,Disponen de agua entubada,De otra vivienda,45,003
Benito Juárez,Disponen de agua entubada,De la lluvia,3,003
Benito Juárez,Disponen de agua entubada,De otro lugar,72,003
Benito Juárez,Disponen de agua entubada,No especificado,39,003
Benito Juárez,No disponen de agua entubada,Acarreada de un pozo,5,003
Benito Juárez,No disponen de agua entubada,Acarreada de llave comunitaria,24,003
Benito Juárez,No disponen de agua entubada,Acarreada de otra vivienda,22,003
Benito Juárez,No disponen de agua entubada,La trae una pipa,32,003
Benito Juárez,No disponen de agua entubada,La recolectan de la lluvia,5,003
Coyoacán,Disponen de agua entubada,Del servicio público de agua,608854,004
Coyoacán,Disponen de agua entubada,De un pozo comunitario,811,004
Coyoacán,Disponen de agua entubada,De un pozo particular,100,004
Coyoacán,Disponen de agua entubada,De una pipa,590,004
Coyoacán,Disponen de agua entubada,De otra vivienda,132,004
Coyoacán,Disponen de agua entubada,De la lluvia,10,004
Coyoacán,Disponen de agua entubada,De otro lugar,135,004
Coyoacán,Disponen de agua entubada,No especificado,126,004
Coyoacán,No disponen de agua entubada,Acarreada de un pozo,10,004
Coyoacán,No disponen de agua entubada,Acarreada de llave comunitaria,80,004
Coyoacán,No disponen de agua entubada,Acarreada de otra vivienda,272,004
Coyoacán,No disponen de agua entubada,La trae una pipa,84,004
Coyoacán,No disponen de agua entubada,La recolectan de la lluvia,6,015
Cuajimalpa de Morelos,Disponen de agua entubada,Del servicio público de agua,199931,015
Cuajimalpa de Morelos,Disponen de agua entubada,De un pozo comunitario,12239,015
Cuajimalpa de Morelos,Disponen de agua entubada,De un pozo particular,261,015
Cuajimalpa de Morelos,Disponen de agua entubada,De una pipa,2001,015
Cuajimalpa de Morelos,Disponen de agua entubada,De otra vivienda,569,015
Cuajimalpa de Morelos,Disponen de agua entubada,De la lluvia,57,015
Cuajimalpa de Morelos,Disponen de agua entubada,De otro lugar,611,015
Cuajimalpa de Morelos,Disponen de agua entubada,No especificado,311,015
Cuajimalpa de Morelos,No disponen de agua entubada,Acarreada de un pozo,30,015
Cuajimalpa de Morelos,No disponen de agua entubada,Acarreada de llave comunitaria,162,005
Cuajimalpa de Morelos,No disponen de agua entubada,Acarreada de otra vivienda,429,005
Cuajimalpa de Morelos,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",17,005
Cuajimalpa de Morelos,No disponen de agua entubada,La trae una pipa,619,005
Cuajimalpa de Morelos,No disponen de agua entubada,La recolectan de la lluvia,2,005
Cuauhtémoc,Disponen de agua entubada,Del servicio público de agua,537736,005
Cuauhtémoc,Disponen de agua entubada,De un pozo comunitario,186,005
Cuauhtémoc,Disponen de agua entubada,De un pozo particular,48,005
Cuauhtémoc,Disponen de agua entubada,De una pipa,327,005
Cuauhtémoc,Disponen de agua entubada,De otra vivienda,201,005
Cuauhtémoc,Disponen de agua entubada,De la lluvia,2,006
Cuauhtémoc,Disponen de agua entubada,De otro lugar,138,006
Cuauhtémoc,Disponen de agua entubada,No especificado,53,006
Cuauhtémoc,No disponen de agua entubada,Acarreada de un pozo,1,006
Cuauhtémoc,No disponen de agua entubada,Acarreada de llave comunitaria,205,006
Cuauhtémoc,No disponen de agua entubada,Acarreada de otra vivienda,145,006
Cuauhtémoc,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",10,006
Cuauhtémoc,No disponen de agua entubada,La trae una pipa,208,006
Cuauhtémoc,No disponen de agua entubada,La recolectan de la lluvia,18,006
Gustavo A. Madero,Disponen de agua entubada,Del servicio público de agua,1151028,007
Gustavo A. Madero,Disponen de agua entubada,De un pozo comunitario,4213,007
Gustavo A. Madero,Disponen de agua entubada,De un pozo particular,137,007
Gustavo A. Madero,Disponen de agua entubada,De una pipa,2350,007
Gustavo A. Madero,Disponen de agua entubada,De otra vivienda,439,007
Gustavo A. Madero,Disponen de agua entubada,De la lluvia,5,007
Gustavo A. Madero,Disponen de agua entubada,De otro lugar,143,007
Gustavo A. Madero,Disponen de agua entubada,No especificado,317,007
Gustavo A. Madero,No disponen de agua entubada,Acarreada de un pozo,21,007
Gustavo A. Madero,No disponen de agua entubada,Acarreada de llave comunitaria,1546,007
Gustavo A. Madero,No disponen de agua entubada,Acarreada de otra vivienda,473,007
Gustavo A. Madero,No disponen de agua entubada,La trae una pipa,723,007
Gustavo A. Madero,No disponen de agua entubada,La recolectan de la lluvia,20,007
Iztacalco,Disponen de agua entubada,Del servicio público de agua,400221,008
Iztacalco,Disponen de agua entubada,De un pozo comunitario,99,008
Iztacalco,Disponen de agua entubada,De un pozo particular,29,008
Iztacalco,Disponen de agua entubada,De una pipa,1713,008
Iztacalco,Disponen de agua entubada,De otra vivienda,275,008
Iztacalco,Disponen de agua entubada,De la lluvia,4,008
Iztacalco,Disponen de agua entubada,De otro lugar,349,008
Iztacalco,Disponen de agua entubada,No especificado,106,008
Iztacalco,No disponen de agua entubada,Acarreada de un pozo,10,008
Iztacalco,No disponen de agua entubada,Acarreada de llave comunitaria,37,008
Iztacalco,No disponen de agua entubada,Acarreada de otra vivienda,157,016
Iztacalco,No disponen de agua entubada,La trae una pipa,106,016
Iztacalco,No disponen de agua entubada,La recolectan de la lluvia,3,016
Iztapalapa,Disponen de agua entubada,Del servicio público de agua,1786871,016
Iztapalapa,Disponen de agua entubada,De un pozo comunitario,2840,016
Iztapalapa,Disponen de agua entubada,De un pozo particular,116,016
Iztapalapa,Disponen de agua entubada,De una pipa,22309,016
Iztapalapa,Disponen de agua entubada,De otra vivienda,737,016
Iztapalapa,Disponen de agua entubada,De la lluvia,153,016
Iztapalapa,Disponen de agua entubada,De otro lugar,188,016
Iztapalapa,Disponen de agua entubada,No especificado,102,009
Iztapalapa,No disponen de agua entubada,Acarreada de un pozo,43,009
Iztapalapa,No disponen de agua entubada,Acarreada de llave comunitaria,405,009
Iztapalapa,No disponen de agua entubada,Acarreada de otra vivienda,676,009
Iztapalapa,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",8,009
Iztapalapa,No disponen de agua entubada,La trae una pipa,3706,009
Iztapalapa,No disponen de agua entubada,La recolectan de la lluvia,18,009
La Magdalena Contreras,Disponen de agua entubada,Del servicio público de agua,234014,009
La Magdalena Contreras,Disponen de agua entubada,De un pozo comunitario,5752,009
La Magdalena Contreras,Disponen de agua entubada,De un pozo particular,903,009
La Magdalena Contreras,Disponen de agua entubada,De una pipa,1703,011
La Magdalena Contreras,Disponen de agua entubada,De otra vivienda,252,011
La Magdalena Contreras,Disponen de agua entubada,De la lluvia,23,011
La Magdalena Contreras,Disponen de agua entubada,De otro lugar,558,011
La Magdalena Contreras,Disponen de agua entubada,No especificado,96,011
La Magdalena Contreras,No disponen de agua entubada,Acarreada de un pozo,1160,011
La Magdalena Contreras,No disponen de agua entubada,Acarreada de llave comunitaria,134,011
La Magdalena Contreras,No disponen de agua entubada,Acarreada de otra vivienda,282,011
La Magdalena Contreras,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",91,011
La Magdalena Contreras,No disponen de agua entubada,La trae una pipa,1499,011
La Magdalena Contreras,No disponen de agua entubada,La recolectan de la lluvia,24,011
Miguel Hidalgo,Disponen de agua entubada,Del servicio público de agua,405100,012
Miguel Hidalgo,Disponen de agua entubada,De un pozo comunitario,321,012
Miguel Hidalgo,Disponen de agua entubada,De un pozo particular,91,012
Miguel Hidalgo,Disponen de agua entubada,De una pipa,110,012
Miguel Hidalgo,Disponen de agua entubada,De otra vivienda,57,012
Miguel Hidalgo,Disponen de agua entubada,De la lluvia,5,012
Miguel Hidalgo,Disponen de agua entubada,De otro lugar,39,012
Miguel Hidalgo,Disponen de agua entubada,No especificado,92,012
Miguel Hidalgo,No disponen de agua entubada,Acarreada de un pozo,3,012
Miguel Hidalgo,No disponen de agua entubada,Acarreada de llave comunitaria,159,012
Miguel Hidalgo,No disponen de agua entubada,Acarreada de otra vivienda,95,012
Miguel Hidalgo,No disponen de agua entubada,La trae una pipa,53,012
Miguel Hidalgo,No disponen de agua entubada,La recolectan de la lluvia,3,017
Milpa Alta,Disponen de agua entubada,Del servicio público de agua,123292,017
Milpa Alta,Disponen de agua entubada,De un pozo comunitario,5089,017
Milpa Alta,Disponen de agua entubada,De un pozo particular,311,017
Milpa Alta,Disponen de agua entubada,De una pipa,6779,017
Milpa Alta,Disponen de agua entubada,De otra vivienda,573,017
Milpa Alta,Disponen de agua entubada,De la lluvia,34,017
Milpa Alta,Disponen de agua entubada,De otro lugar,123,017
Milpa Alta,Disponen de agua entubada,No especificado,115,017
Milpa Alta,No disponen de agua entubada,Acarreada de un pozo,663,013
Milpa Alta,No disponen de agua entubada,Acarreada de llave comunitaria,1005,013
Milpa Alta,No disponen de agua entubada,Acarreada de otra vivienda,1094,013
Milpa Alta,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",21,013
Milpa Alta,No disponen de agua entubada,La trae una pipa,13260,013
Milpa Alta,No disponen de agua entubada,La recolectan de la lluvia,101,013
Tláhuac,Disponen de agua entubada,Del servicio público de agua,365682,011
Tláhuac,Disponen de agua entubada,De un pozo comunitario,4053,011
Tláhuac,Disponen de agua entubada,De un pozo particular,101,011
Tláhuac,Disponen de agua entubada,De una pipa,10975,011
Tláhuac,Disponen de agua entubada,De otra vivienda,908,011
Tláhuac,Disponen de agua entubada,De la lluvia,31,011
Tláhuac,Disponen de agua entubada,De otro lugar,216,011
Tláhuac,Disponen de agua entubada,No especificado,132,011
Tláhuac,No disponen de agua entubada,Acarreada de un pozo,182,011
Tláhuac,No disponen de agua entubada,Acarreada de llave comunitaria,597,011
Tláhuac,No disponen de agua entubada,Acarreada de otra vivienda,598,011
Tláhuac,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",12,011
Tláhuac,No disponen de agua entubada,La trae una pipa,7543,011
Tláhuac,No disponen de agua entubada,La recolectan de la lluvia,34,011
Tlalpan,Disponen de agua entubada,Del servicio público de agua,562109,012
Tlalpan,Disponen de agua entubada,De un pozo comunitario,9884,012
Tlalpan,Disponen de agua entubada,De un pozo particular,1232,012
Tlalpan,Disponen de agua entubada,De una pipa,85892,012
Tlalpan,Disponen de agua entubada,De otra vivienda,830,012
Tlalpan,Disponen de agua entubada,De la lluvia,549,012
Tlalpan,Disponen de agua entubada,De otro lugar,364,012
Tlalpan,Disponen de agua entubada,No especificado,220,012
Tlalpan,No disponen de agua entubada,Acarreada de un pozo,265,012
Tlalpan,No disponen de agua entubada,Acarreada de llave comunitaria,980,012
Tlalpan,No disponen de agua entubada,Acarreada de otra vivienda,924,012
Tlalpan,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",42,012
Tlalpan,No disponen de agua entubada,La trae una pipa,30510,012
Tlalpan,No disponen de agua entubada,La recolectan de la lluvia,330,012
Venustiano Carranza,Disponen de agua entubada,Del servicio público de agua,440713,017
Venustiano Carranza,Disponen de agua entubada,De un pozo comunitario,179,017
Venustiano Carranza,Disponen de agua entubada,De un pozo particular,24,017
Venustiano Carranza,Disponen de agua entubada,De una pipa,153,017
Venustiano Carranza,Disponen de agua entubada,De otra vivienda,250,017
Venustiano Carranza,Disponen de agua entubada,De la lluvia,12,017
Venustiano Carranza,Disponen de agua entubada,De otro lugar,87,017
Venustiano Carranza,Disponen de agua entubada,No especificado,68,017
Venustiano Carranza,No disponen de agua entubada,Acarreada de un pozo,13,017
Venustiano Carranza,No disponen de agua entubada,Acarreada de llave comunitaria,74,017
Venustiano Carranza,No disponen de agua entubada,Acarreada de otra vivienda,91,017
Venustiano Carranza,No disponen de agua entubada,La trae una pipa,52,017
Venustiano Carranza,No disponen de agua entubada,La recolectan de la lluvia,2,017
Xochimilco,Disponen de agua entubada,Del servicio público de agua,365120,013
Xochimilco,Disponen de agua entubada,De un pozo comunitario,14805,013
Xochimilco,Disponen de agua entubada,De un pozo particular,752,013
Xochimilco,Disponen de agua entubada,De una pipa,14133,013
Xochimilco,Disponen de agua entubada,De otra vivienda,1715,013
Xochimilco,Disponen de agua entubada,De la lluvia,307,013
Xochimilco,Disponen de agua entubada,De otro lugar,920,013
Xochimilco,Disponen de agua entubada,No especificado,1063,013
Xochimilco,No disponen de agua entubada,Acarreada de un pozo,3224,013
Xochimilco,No disponen de agua entubada,Acarreada de llave comunitaria,6484,013
Xochimilco,No disponen de agua entubada,Acarreada de otra vivienda,1752,013
Xochimilco,No disponen de agua entubada,"Acarreada de un río, arroyo o lago",71,013
Xochimilco,No disponen de agua entubada,La trae una pipa,26942,013
Xochimilco,No disponen de agua entubada,La recolectan de la lluvia,234,013
